[LOG] System::create                           : Header version = 2.02.13. Current version = 2.02.13.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0x0.
[LOG] SystemI::init                            : Initialize version=20213 (132591), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD Core Audio Output'
[LOG] OutputCoreAudio::init                    : Output running 2 channels at 96000Hz sample rate.
[LOG] OutputCoreAudio::init                    : Maximum hardware read size: 512 samples, Software buffer size: 512 samples, Number of software buffers: 4.
[LOG] SystemI::init                            : Output requires a sample rate of 96000Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: Yes, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0x2da5f5a08 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[LOG] SoundI::release                          : Wind (0x2b35e7578)
[LOG] SoundI::release                          :     Wind (0x2cffdb098)
[LOG] SoundI::release                          :     Wind (0x2cffdb228)
[LOG] SoundI::release                          : OxygenStationEmpty (0x2b35d23c8)
[LOG] SoundI::release                          :     OxygenStationEmpty (0x2b73a7df8)
[LOG] SoundI::release                          :     OxygenStationEmpty (0x2b35ce418)
[LOG] SoundI::release                          :  (0x2cffe84f8)
[LOG] SoundI::release                          :     Out of oxygen-002 (0x2cffd4fd8)
[LOG] SoundI::release                          :  (0x2d8370ac8)
[LOG] SoundI::release                          :     Out of oxygen-001 (0x2d8370c38)
[LOG] SoundI::release                          :  (0x2dd45f468)
[LOG] SoundI::release                          :     Out of oxygen-003 (0x2a5f21918)
[LOG] SoundI::release                          :  (0x2cfffc718)
[LOG] SoundI::release                          :     UI_item_pickup(dry) (0x2cfffc888)
[LOG] SoundI::release                          :  (0x2dd4aa2c8)
[LOG] SoundI::release                          :     Cloth jump-001 (0x2a5767828)
[LOG] SoundI::release                          :  (0x2cffdf258)
[LOG] SoundI::release                          :     Cloth jump-002 (0x2cffd4358)
[LOG] SoundI::release                          :  (0x2cfff60c8)
[LOG] SoundI::release                          :     Cloth jump-003 (0x2cfff6238)
[LOG] SoundI::release                          :  (0x2d836e648)
[LOG] SoundI::release                          :     Cloth jump-004 (0x2d836e7b8)
[LOG] SoundI::release                          :  (0x2cfff5c38)
[LOG] SoundI::release                          :     UI_select (0x2cfff5da8)
[LOG] SoundI::release                          :  (0x2dd4aa858)
[LOG] SoundI::release                          :     Heartbeat (0x2a57d6808)
[LOG] SoundI::release                          :  (0x2d836f3f8)
[LOG] SoundI::release                          :     LandingOnRock-001 (0x2d836f568)
[LOG] SoundI::release                          :  (0x2cffb2a98)
[LOG] SoundI::release                          :     LandingOnRock-002 (0x2cffb2c08)
[LOG] SoundI::release                          :  (0x2cffadf78)
[LOG] SoundI::release                          :     LandingOnRock-003 (0x2cffd5258)
[LOG] SoundI::release                          :  (0x2cfff2bb8)
[LOG] SoundI::release                          :     LandingOnRock-004 (0x2cfff2d28)
[LOG] SoundI::release                          :  (0x2cffdef48)
[LOG] SoundI::release                          :     LandingOnRock-005 (0x2cffd7e08)
[LOG] SoundI::release                          :  (0x2cfff3df8)
[LOG] SoundI::release                          :     LandingOnRock-006 (0x2cfff3f68)
[LOG] SoundI::release                          :  (0x2cffcd8a8)
[LOG] SoundI::release                          :     LandingOnRock-007 (0x2cffb2ef8)
[LOG] SoundI::release                          :  (0x2d190e368)
[LOG] SoundI::release                          :     LandingOnRock-008 (0x2e954f0d8)
[LOG] SoundI::release                          :  (0x2cfff7ee8)
[LOG] SoundI::release                          :     LandingOnRock-009 (0x2cfff7178)
[LOG] SoundI::release                          :  (0x2d8370f58)
[LOG] SoundI::release                          :     LandingOnRock-010 (0x2d83710c8)
[LOG] SoundI::release                          :  (0x2cfff75c8)
